City,Latitude,Longitude,Temperature,Humidity,Cloudiness,Wind Speed
nantucket,41.2835,-70.0995,18.06,88,0,3.09
cadillac,44.2519,-85.4012,27.95,32,0,1.54
sfantu gheorghe,45.8667,25.7833,8.84,81,6,1.02
kundiawa,-6.0167,144.9667,17.86,94,84,0.55
gornopravdinsk,60.05,69.9,5.25,76,0,2.2
bhandara,21.1667,79.65,23.23,90,100,3.42
wadi musa,30.3222,35.4793,16.31,63,0,3.55
charters towers,-20.1,146.2667,19.56,68,93,7.55
ustka,54.5805,16.8619,16.72,67,74,2.57
sawakin,19.1059,37.3321,31.11,68,30,2.17
severo-kurilsk,50.6789,156.125,9.53,80,100,5.41
rameswaram,9.2833,79.3,28.75,75,58,6.54
guerrero negro,27.9769,-114.0611,22.69,58,2,7.63
bandarbeyla,9.4942,50.8122,25.09,84,26,11.87
antofagasta,-23.65,-70.4,14.6,77,3,0.67
vila franca do campo,37.7167,-25.4333,23.23,77,59,1.75
bauta,22.9828,-82.5464,29.94,79,75,1.54
nsanje,-16.92,35.262,26.15,46,0,2.0
xuchang,34.0167,113.8167,21.9,74,44,5.57
todos santos,23.45,-110.2167,25.25,73,8,4.93
bataipora,-22.2953,-53.2711,22.65,55,0,4.0
tateyama,34.9833,139.8667,25.48,88,41,0.45
wajima,37.4,136.9,25.59,76,6,0.84
pokosnoye,55.5258,101.0536,-1.55,95,99,1.71
waipawa,-41.4122,175.5153,5.92,96,95,6.83
yaring,6.8662,101.3689,23.51,96,100,4.56
isiro,2.7739,27.616,19.25,99,97,0.79
chivilcoy,-34.8957,-60.0167,17.63,54,0,2.66
mandalgovi,45.7625,106.2708,10.93,68,96,2.82
nicoya,10.1483,-85.452,27.46,89,84,1.27
novocheremshansk,54.3571,50.1666,14.02,80,0,2.25
emirdag,39.0197,31.15,16.47,47,4,1.61
nouadhibou,20.931,-17.0347,21.99,83,6,7.2
tongliao,43.6125,122.2653,12.11,64,48,2.71
ryomgard,56.3843,10.503,12.99,94,20,3.13
khudumelapye,-23.8833,24.75,26.19,23,99,3.99
talcahuano,-36.7167,-73.1167,15.82,55,0,4.12
gifhorn,52.4833,10.55,12.85,82,100,2.57
bilma,18.6853,12.9164,36.17,24,73,2.63
vung tau,10.346,107.0843,25.99,89,100,7.45
byron bay,-28.65,153.6167,15.46,67,0,4.51
kalabo,-14.97,22.6814,23.48,17,15,2.7
arcata,40.8665,-124.0828,18.12,78,0,5.66
lemoore,36.3008,-119.7829,23.89,44,0,3.6
norfolk,42.1668,-71.2495,23.8,42,12,2.62
juba,4.8517,31.5825,21.99,93,55,0.53
pali,25.7667,73.3333,24.43,73,0,3.13
katsuura,35.1333,140.3,26.28,84,73,1.46
bambanglipuro,-7.95,110.2833,22.84,84,50,1.24
padang,-0.9492,100.3543,24.03,88,100,1.57
freeport,40.6576,-73.5832,21.02,74,0,4.12
bulgan,48.8125,103.5347,5.64,77,0,0.42
sorland,67.667,12.6934,9.92,79,42,11.77
saryg-sep,51.5,95.6,4.0,96,100,1.51
batagay-alyta,67.8006,130.4114,0.94,81,100,2.16
lompoc,34.6391,-120.4579,19.27,58,75,7.2
changli,39.7042,119.1506,19.01,88,0,2.55
choma,-16.8065,26.9531,21.71,25,0,2.41
tena,-0.9833,-77.8167,30.25,52,20,2.15
ilhabela,-23.7781,-45.3581,19.43,93,100,1.91
redmond,47.674,-122.1215,20.15,68,1,0.89
wyndham,37.6985,-77.6125,20.56,87,100,4.62
nhulunbuy,-12.2333,136.7667,27.34,74,75,5.66
sangamner,19.5667,74.2167,20.84,84,46,3.14
road town,18.4167,-64.6167,29.02,79,40,4.12
ranong,9.9658,98.6348,25.96,88,100,6.67
staryy nadym,65.6118,72.6842,11.31,89,96,3.02
dargaville,-35.9333,173.8833,10.57,86,98,9.02
sovetskiy,61.3614,63.5842,10.07,85,23,2.4
tatarsk,55.219,75.9828,3.68,83,14,2.47
canchungo,12.0672,-16.0333,24.01,93,97,2.51
iquique,-20.2208,-70.1431,14.71,84,42,0.31
poum,-20.2333,164.0167,21.85,57,73,10.18
